Gene	Cluster	purity_score	p_value	Estimate.fisher	P.cochran	Estimate.cochran	DiffChange	FDR
PTGDS	11	0.863636363636364	0.000781836856709233	20.8654509521412	0.477885646079934	-0.709707329423411	0.010695187165776	0.128221244500314
RAI1	8	0.817073170731707	0.00783011731697588	12.8885952698234	0.536267656439263	-0.618466829919376	0.0281842818428181	1
RBM4	2	0.769230769230769	0.180149661239761	5.5055186190745	0.0444743482830531	-2.00959238117125		1
RBM4B	2	0.7625	0.190788388586508	5.33113726240092	0.0450333188372919	2.00434311043489		1
RELB	9	0.825	0.0152792572399741	11.9986616601475	0.0140333030180634	-2.45640979059712	0.029545454545455	1
RORA	11	0.818181818181818	0.00767447144994551	13.0607574300495	0.210797041856204	-1.2513767880674	0.066728329809725	1
RORB	6	0.785714285714286	0.319757810323848	3.86111994983791	0.199743070056738	1.2822839102668	0.092400332225914	1
RORC	10	0.842105263157895	0.00269633625001415	17.6380187455588	0.950669345757022	0.0618662485359214	0.039779681762546	0.442199145002321
SERPINE1	10	0.838235294117647	0.00122459771332189	18.7772365026108	0.390093941945893	0.859447012368934	0.018790849673202	0.20083402498479
SETX	11	0.813953488372093	0.0169967798749059	11.0488025145547	0.00832853247018692	-2.63845267285336	0.227643964562569	1
SFPQ	8	0.788888888888889	0.168648998060763	5.23913541326349	0.166618512470798	-1.38315118972655	0.20952380952381	1
SIAH2	6	0.78	0.585477415666095	2.48026752849279	0.120396488250716	-1.55311154576949	0.505490196078431	1
SIK1	5	0.797872340425532	0.305267651327585	4.2340916513783	0.422096100952956	0.802790038215649	0.512158054711246	1
SIN3A	10	0.825581395348837	0.00323444079790456	15.5537876374166	0.133994063546359	-1.49853593479525	0.027709054923305	0.530448290856348
SIRT1	8	0.821428571428571	0.0336436850410839	10.0464589311141	0.0771324622325031	-1.76757212057821	0.027950310559006	1
SLC6A4	10	0.8375	0.000543315137687987	20.8079977704272	0.99732831046931	0.00334847251664962	0.0160714285714291	0.0891036825808299
SOX14	5	0.802325581395349	0.300647548566143	4.3664885743185	0.124763293815239	-1.53508360145519	0.51343669250646	1
SPSB4	6	0.816666666666667	0.00886917960088691	12.5493607585001	0.101412203629836	-1.63804549513184	0.010215053763441	1
SREBF1	7	0.817073170731707	0.0164312533524048	11.2913999587669	0.873666896392844	0.159002509878467	0.0281842818428181	1
SUV39H2	4	0.696864111498258	0.143125335240479	3.92405380329727	0.0571134061792742	1.9024419114645	0.018292682926829	1
TH	14	0.883578431372549	6.09495918822219e-05	19.4132823880711	0.44356856680035	0.76618107599196	0.088386123680241	0.00999573306868439
THRAP3	11	0.813953488372093	0.0081655087381585	12.6123678977952	0.0151371307505612	-2.42908146328809	0.0267194458189011	1
TIMELESS	14	0.804115853658537	0.0116759752343793	7.66771916001507	0.930458091748453	0.0872685001001493	0.061060298102981	1
TNFRSF11A	11	0.834782608695652	8.720290363604e-06	17.0146771585448	0.0167948209453113	2.39116898203685	0.022282608695652	0.00143012761963106
TOP1	11	0.829268292682927	0.00139829441196716	17.7309931819309	0.0752298770308665	-1.77906029667352	0.015314804310834	0.229320283562614
TOP2A	10	0.806818181818182	0.0185628592363426	10.4545458789554	0.153440067499715	-1.42748527171852	0.128496503496504	1
TP53	8	0.788888888888889	0.575714285714286	2.64712668591173	0.253609527664469	-1.14162596220162	0.231196581196581	1
TPH1	11	0.833333333333333	0.00131335408922959	18.3616063038916	0.410274376663701	-0.823410882365345	0.015151515151515	0.215390070633653
TYMS	9	0.797872340425532	0.305267651327585	4.2340916513783	0.335071778005844	-0.963948436831005	0.171060746222633	1
UBE3A	9	0.825581395348837	0.0070852267040899	13.8387714043245	0.201928248712442	-1.27607714831969	0.027709054923305	1
USP2	9	0.828947368421053	0.00672588629869629	14.0934515961081	0.0129791479416929	-2.48434093292195	0.031328320802005	1
USP7	5	0.78	0.585477415666095	2.48026752849279	0.943175395165427	0.0712793934333898	0.239677419354839	1
USP9X	12	0.846153846153846	0.000475998104835381	22.3164452536716	0.00617844051897188	-2.73815789109934	0.032200357781753	0.0780636891930025
