	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type	Sleep_Times	Sleep_Timing
131	ERR3294465	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
132	ERR3294466	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
133	ERR3294467	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
134	ERR3294476	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
135	ERR3294477	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
136	ERR3294478	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
137	ERR3294479	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
138	ERR3294480	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
139	ERR3294481	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
140	ERR3294482	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
141	ERR3294483	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
142	ERR3294484	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
143	ERR3294485	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
144	ERR3294486	PRJEB32022	blood	male	Cow	4	ILLUMINA	Illumina HiSeq 2500	cDNA	short sleep	Once	Sleep at night
