	Run	BioProject	Tissue	Sex	Species	Total sleep time per day (hr)	Platform	Instrument	LibrarySelection	Type
373	SRR7970253	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
374	SRR7970254	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
375	SRR7970255	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
376	SRR7970256	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
377	SRR7970257	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
378	SRR7970258	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
379	SRR7970259	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
380	SRR7970260	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
381	SRR7970261	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
382	SRR7970262	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
383	SRR7970263	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
384	SRR7970264	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
385	SRR7970265	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
386	SRR7970266	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
387	SRR7970267	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
388	SRR7970268	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
389	SRR7970269	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
390	SRR7970270	PRJNA494868	blood	male	Vervet-agm	0.941972921	ILLUMINA	Illumina HiSeq 4000	cDNA	high ratio
